document_index,title,cache_file,cache_present,output_status,included_in_valid_rate_denominator,valid_structured_output
35,Won-yong,0035.json,True,cached_unusable,True,False
36,Ramada (shelter),0036.json,True,cached_error,True,False
37,Björn von der Esch,0037.json,True,cached_error,True,False
38,Fyllingen Fotball,0038.json,True,cached_error,True,False
39,Martin Ulrich,0039.json,True,cached_unusable,True,False
40,Two Doors Down,0040.json,True,cached_unusable,True,False
41,Think Bike,0041.json,True,cached_unusable,True,False
42,United States Naval Forces Germany,0042.json,True,cached_unusable,True,False
43,Cry for Help,0043.json,True,cached_error,True,False
44,Surreal (song),0044.json,True,cached_unusable,True,False
45,Between Five and Seven,0045.json,True,cached_error,True,False
46,List of Square Enix video games,0046.json,True,valid,True,True
47,Velocifero,0047.json,True,cached_unusable,True,False
48,Zakhary Lyapunov,0048.json,True,cached_unusable,True,False
49,Kriegers Flak,0049.json,True,cached_error,True,False
50,Enasa,0050.json,True,cached_unusable,True,False
51,Christian worship,0051.json,True,cached_unusable,True,False
52,Johan Gottlieb Gahn,0052.json,True,cached_unusable,True,False
53,Bohumín,0053.json,True,cached_error,True,False
54,Leonessa,0054.json,True,cached_unusable,True,False
55,Philippine Commission,0055.json,True,cached_error,True,False
56,Chopin and his Europe,0056.json,True,cached_unusable,True,False
57,Gujranwala,0057.json,True,cached_error,True,False
58,Beibu Gulf Economic Rim,0058.json,True,valid,True,True
59,Luis Roche,0059.json,True,cached_error,True,False
60,Nikos Aliagas,0060.json,True,cached_unusable,True,False
61,List of Property Brothers episodes,0061.json,True,cached_unusable,True,False
62,Anatoly Chubais,0062.json,True,cached_error,True,False
63,"Navy, Army and Air Force Institutes",0063.json,True,cached_error,True,False
64,Jefferson Madeira,0064.json,True,cached_unusable,True,False
65,Aspren,0065.json,True,cached_error,True,False
66,Jimmy Frise,0066.json,True,cached_unusable,True,False
67,Vineeth Sreenivasan,0067.json,True,cached_unusable,True,False
68,"Zabiele, Warmian-Masurian Voivodeship",0068.json,True,cached_unusable,True,False
69,"Clark Lake (Gogebic County, Michigan)",0069.json,True,cached_error,True,False
70,O'Shaughnessy Dam (Ohio),0070.json,True,cached_unusable,True,False
71,Vase de Noces,0071.json,True,cached_error,True,False
72,War of the Quadruple Alliance,0072.json,True,cached_unusable,True,False
73,Can't Take My Eyes Off You,0073.json,True,cached_unusable,True,False
74,Angleton High School,0074.json,True,cached_unusable,True,False
75,List of colleges and universities in Connecticut,0075.json,True,cached_error,True,False
76,Ost Autobahn,0076.json,True,cached_error,True,False
77,Anthony Steel (actor),0077.json,True,cached_unusable,True,False
78,Dieudonné Gnammankou,0078.json,True,cached_error,True,False
79,Your Disco Needs You,0079.json,True,cached_unusable,True,False
80,Outline of South Sudan,0080.json,True,cached_error,True,False
81,Liverpool Neurological Infectious Diseases Course,0081.json,True,cached_error,True,False
82,Breakout (video game),0082.json,True,valid,True,True
83,Winnebago War,0083.json,True,cached_error,True,False
84,Schizoanalysis,0084.json,True,cached_unusable,True,False
85,Paul Beliën,0085.json,True,valid,True,True
86,John R. Thurman,0086.json,True,cached_error,True,False
87,María la del Barrio,0087.json,True,cached_unusable,True,False
88,Tigran Petrosian,0088.json,True,cached_unusable,True,False
89,This Little Girl of Mine,0089.json,True,cached_unusable,True,False
90,Ernesto D'Alessio,0090.json,True,cached_unusable,True,False
91,João Paulo de Silva,0091.json,True,cached_unusable,True,False
92,Regal Mountain,0092.json,True,cached_error,True,False
93,Il regalo più grande,0093.json,True,cached_unusable,True,False
94,East Asia Economic Caucus,0094.json,True,cached_error,True,False
95,Tiana (Disney),0095.json,True,cached_unusable,True,False
96,Vesper sparrow,0096.json,True,cached_error,True,False
97,Silvan Elves,0097.json,True,cached_error,True,False
98,ABBA Live,0098.json,True,cached_unusable,True,False
99,Young Wild Things Tour,0099.json,True,cached_unusable,True,False
100,Samuel C. Brightman,0100.json,True,cached_unusable,True,False
101,Alberto Valenzuela Llanos,0101.json,True,cached_error,True,False
102,Amandeep Khare,0102.json,True,cached_unusable,True,False
103,Blank Page,0103.json,True,cached_error,True,False
104,Jared Allen,0104.json,True,cached_error,True,False
105,The Hurting,0105.json,True,cached_unusable,True,False
106,Link River,0106.json,True,cached_error,True,False
107,Ali Kuli Khan Khattak,0107.json,True,cached_unusable,True,False
108,Paul Morphy,0108.json,True,cached_unusable,True,False
109,Gloria Estefan albums discography,0109.json,True,cached_unusable,True,False
110,Tōkai region,0110.json,True,cached_unusable,True,False
111,Parks in Greater St. Louis,0111.json,True,cached_error,True,False
112,Loopline Bridge,0112.json,True,cached_unusable,True,False
113,Catholic Church in the Maldives,0113.json,True,cached_error,True,False
114,Across the Black Waters,0114.json,True,cached_unusable,True,False
115,Cove Lake State Park,0115.json,True,cached_unusable,True,False
116,German torpedo boat Kondor,0116.json,True,cached_unusable,True,False
117,Foulsyke,0117.json,True,cached_unusable,True,False
118,Le Ventre de Paris,0118.json,True,cached_error,True,False
119,Energy and Environmental Security Initiative,0119.json,True,cached_unusable,True,False
120,Ne crois pas,0120.json,True,cached_unusable,True,False
121,Downy,0121.json,True,cached_unusable,True,False
122,Boltenhagen,0122.json,True,cached_error,True,False
123,Upper Ammonoosuc River,0123.json,True,cached_error,True,False
124,Michael Giacchino,0124.json,True,cached_error,True,False
125,Oberliga Rheinland-Pfalz/Saar,0125.json,True,cached_unusable,True,False
126,Siberia Governorate,0126.json,True,cached_error,True,False
127,Raymond Hermantier,0127.json,True,cached_error,True,False
128,Kurt Tucholsky,0128.json,True,cached_unusable,True,False
129,Urgut,0129.json,True,cached_error,True,False
130,N. C. Wyeth,0130.json,True,cached_unusable,True,False
131,Bound Brook (Raritan River tributary),0131.json,True,cached_unusable,True,False
132,Bombtrack,0132.json,True,cached_unusable,True,False
133,Christine Razanamahasoa,0133.json,True,cached_error,True,False
134,Shihlin Electric,0134.json,True,cached_error,True,False
135,Wayne Gretzky Drive,0135.json,True,cached_unusable,True,False
136,Inner Life,0136.json,True,cached_unusable,True,False
137,Ahmet Kaya,0137.json,True,cached_unusable,True,False
138,Leone Marucci,0138.json,True,cached_unusable,True,False
139,Susan Pharr,0139.json,True,cached_unusable,True,False
140,Sycamore Canyon Wilderness,0140.json,True,cached_error,True,False
141,Eva Bosáková,0141.json,True,cached_unusable,True,False
142,Ripton (fictional town),0142.json,True,cached_error,True,False
143,Khooni Khanjar,0143.json,True,cached_unusable,True,False
144,Barry University School of Podiatric Medicine,0144.json,True,cached_error,True,False
145,Louise Faure-Favier,0145.json,True,cached_error,True,False
146,Kirnitzschtal tramway,0146.json,True,cached_error,True,False
147,Rob James (singer),0147.json,True,cached_error,True,False
148,Joy Division discography,0148.json,True,cached_error,True,False
149,Franck Piccard,0149.json,True,cached_unusable,True,False
150,John Alexander Boyd,0150.json,True,cached_error,True,False
151,Hélé Béji,0151.json,True,cached_error,True,False
152,Perpetual virginity of Mary,0152.json,True,cached_unusable,True,False
153,Rachel Proctor,0153.json,True,cached_unusable,True,False
154,Die Haut,0154.json,True,cached_unusable,True,False
155,Mehmet Çetingöz,0155.json,True,valid,True,True
156,Extreme Makeover: Home Edition,0156.json,True,cached_error,True,False
157,George Prévost,0157.json,True,cached_error,True,False
158,"Tire, İzmir",0158.json,True,cached_unusable,True,False
159,Oecophora bractella,0159.json,True,cached_unusable,True,False
160,U.S. European Command State Partnership Program,0160.json,True,cached_unusable,True,False
161,The Swingle Singers,0161.json,True,valid,True,True
162,Pete Ham,0162.json,True,cached_error,True,False
163,Beijing Ducks,0163.json,True,cached_error,True,False
164,Hope Town,0164.json,True,cached_unusable,True,False
165,Calueque,0165.json,True,cached_error,True,False
166,Ali Akbar Moradi,0166.json,True,cached_error,True,False
167,Dan Chupong,0167.json,True,cached_unusable,True,False
168,Mount Shinn,0168.json,True,cached_error,True,False
169,Georg Jochmann,0169.json,True,cached_error,True,False
170,Abdul Jabar Sabet,0170.json,True,cached_unusable,True,False
171,Joseph Octave Mousseau,0171.json,True,cached_error,True,False
172,Christian Atsu,0172.json,True,cached_unusable,True,False
173,Kahului Airport,0173.json,True,cached_unusable,True,False
174,Greatest Hits (A-Teens album),0174.json,True,cached_unusable,True,False
175,Torrejonian,0175.json,True,cached_error,True,False
176,Carol II of Romania,0176.json,True,cached_error,True,False
177,Metropolitan statistical area,0177.json,True,cached_unusable,True,False
178,Sarah Gibb,0178.json,True,cached_error,True,False
179,List of songs recorded by Rage Against the Machine,0179.json,True,cached_unusable,True,False
180,National Turkey Federation,0180.json,True,cached_unusable,True,False
181,Mike Padden,0181.json,True,cached_unusable,True,False
182,Puskás,0182.json,True,cached_error,True,False
183,Zevs (artist),0183.json,True,cached_error,True,False
184,Camp Caves,0184.json,True,cached_error,True,False
185,Independent Democratic Action,0185.json,True,cached_unusable,True,False
186,I Knew You Were Trouble,0186.json,True,cached_unusable,True,False
187,Great South Australian Coastal Upwelling System,0187.json,True,cached_error,True,False
188,X-Men Legends II: Rise of Apocalypse,0188.json,True,cached_error,True,False
189,Çağlar Söyüncü,0189.json,True,cached_error,True,False
190,Chachalaca,0190.json,True,cached_error,True,False
191,William James Wallace,0191.json,True,cached_unusable,True,False
192,Horst Eidenmüller,0192.json,True,cached_unusable,True,False
193,Goght,0193.json,True,cached_error,True,False
194,Riksakten,0194.json,True,cached_unusable,True,False
195,Astana International Financial Centre,0195.json,True,cached_error,True,False
196,Amos Hochstein,0196.json,True,cached_error,True,False
197,Gregorio Pacheco,0197.json,True,cached_error,True,False
198,Pete Murray,0198.json,True,cached_unusable,True,False
199,Malpai Borderlands,0199.json,True,cached_unusable,True,False
200,Lost Verizon,0200.json,True,cached_unusable,True,False
201,Leandro Mbomio Nsue,0201.json,True,cached_error,True,False
202,LEC billing,0202.json,True,cached_error,True,False
203,Joe Gates,0203.json,True,cached_error,True,False
204,Lunula (amulet),0204.json,True,cached_error,True,False
205,Schiedea haleakalensis,0205.json,True,cached_unusable,True,False
206,Jeanne Thérèse du Han,0206.json,True,cached_error,True,False
207,Kokumin Dōmei,0207.json,True,cached_unusable,True,False
208,Vanya Mishra,0208.json,True,cached_unusable,True,False
209,Kitigan Zibi,0209.json,True,cached_error,True,False
210,CKNL-FM,0210.json,True,cached_error,True,False
211,William Hepburn Armstrong,0211.json,True,cached_unusable,True,False
212,Joseph Israel,0212.json,True,cached_unusable,True,False
213,Ellerbusch Site,0213.json,True,cached_error,True,False
214,Brother Man,0214.json,True,valid,True,True
215,Big Muddy Creek (Missouri River tributary),0215.json,True,cached_error,True,False
216,Clear and Present Danger (film),0216.json,True,cached_unusable,True,False
217,Osmund Ueland,0217.json,True,cached_unusable,True,False
218,Alecu Russo,0218.json,True,cached_error,True,False
219,Ramapo High School (New Jersey),0219.json,True,cached_unusable,True,False
220,Tulelake camp,0220.json,True,cached_error,True,False
221,Tomasz Bohdanowicz-Dworzecki,0221.json,True,cached_unusable,True,False
222,"Financial District, Manhattan",0222.json,True,cached_unusable,True,False
223,King Louie,0223.json,True,cached_error,True,False
224,John Henry Dearle,0224.json,True,cached_error,True,False
225,Patrick Stettner,0225.json,True,cached_unusable,True,False
226,Arjuna,0226.json,True,cached_error,True,False
227,The Two Mrs. Nahasapeemapetilons,0227.json,True,cached_error,True,False
228,Daniel Ajayi-Adeniran,0228.json,True,cached_error,True,False
229,Ocean Waves (film),0229.json,True,cached_error,True,False
230,Mavis Grind,0230.json,True,valid,True,True
231,Ages of consent in Oceania,0231.json,True,cached_error,True,False
232,Trane's Blues,0232.json,True,cached_unusable,True,False
233,Hooshang Seyhoun,0233.json,True,cached_error,True,False
234,Thirteens (album),0234.json,True,cached_error,True,False
235,Babyfingers,0235.json,True,cached_error,True,False
236,"Brigden, Ontario",0236.json,True,cached_unusable,True,False
237,Carl Dix,0237.json,True,cached_unusable,True,False
238,US Airways Group,0238.json,True,cached_unusable,True,False
239,Jerry Steiner,0239.json,True,cached_error,True,False
240,Joan Burton,0240.json,True,valid,True,True
241,How to Save a Life (Grey's Anatomy),0241.json,True,cached_error,True,False
242,Lappeenranta,0242.json,True,cached_error,True,False
243,James P. Maher,0243.json,True,cached_error,True,False
244,"Statue of Jan Smuts, Parliament Square",,False,absent,False,False
245,Panama during World War II,,False,absent,False,False
246,Arthur Percival,0246.json,True,valid,True,True
247,Holden New Zealand,,False,absent,False,False
248,Piton des Neiges,0248.json,True,valid,True,True
249,Irish experiment,,False,absent,False,False
250,Bookbinder soup,,False,absent,False,False
251,"Durán, Ecuador",0251.json,True,valid,True,True
252,Argentine heavy metal,,False,absent,False,False
253,Guarenas Cathedral,,False,absent,False,False
254,"Foots Creek, Oregon",,False,absent,False,False
255,Committee against the Finnish White Terror,,False,absent,False,False
256,Bessang Pass Natural Monument,,False,absent,False,False
257,Panlongcheng,,False,absent,False,False
258,El Tren de los Momentos,,False,absent,False,False
259,Quokka,,False,absent,False,False
260,Google Springboard,,False,absent,False,False
261,White Sea,,False,absent,False,False
262,Robert K. Huntington,,False,absent,False,False
263,Achilles Last Stand,,False,absent,False,False
264,Toyota Avalon,,False,absent,False,False
265,Truth in Music Advertising,,False,absent,False,False
266,Cranford Agreement,,False,absent,False,False
267,"Cy Becker, Edmonton",,False,absent,False,False
268,Ici Paris,,False,absent,False,False
269,Luan Bo,,False,absent,False,False
270,Burseraceae,,False,absent,False,False
271,National Executive Committee of the African National Congress,,False,absent,False,False
272,Economic history of Cambodia,,False,absent,False,False
273,FLAMA,,False,absent,False,False
274,Guillermo Endara,,False,absent,False,False
275,Washington Place (West Virginia),,False,absent,False,False
276,Abbas Kiarostami,,False,absent,False,False
277,Tomcats Screaming Outside,,False,absent,False,False
278,Mark Harmsworth,,False,absent,False,False
279,Friends of Peter G.,,False,absent,False,False
280,Joyce Godenzi,,False,absent,False,False
281,Pskhu,,False,absent,False,False
282,Cassin's finch,,False,absent,False,False
283,Christie Elliott,,False,absent,False,False
284,Bajofondo,,False,absent,False,False
285,Mendenhall Glacier,,False,absent,False,False
286,Battle of Chiari,,False,absent,False,False
287,Washington v. Texas,,False,absent,False,False
288,Raunaq (album),,False,absent,False,False
289,Carl Buchheister,,False,absent,False,False
290,Roald,,False,absent,False,False
291,"They Shoot Horses, Don't They? (film)",,False,absent,False,False
292,Bonnie Blair,,False,absent,False,False
293,Signaling of the New York City Subway,,False,absent,False,False
294,"Symphony Hall, Boston",,False,absent,False,False
295,Liang Congjie,,False,absent,False,False
296,Pleistocene coyote,,False,absent,False,False
297,Skylake (microarchitecture),,False,absent,False,False
298,Lewis of Luxembourg,,False,absent,False,False
299,Ronald Leonard,,False,absent,False,False
