audit_row,model,document_index,title,relation_id,head_emitted,head_status,head_candidate_clusters,tail_emitted,tail_status,tail_candidate_clusters,automatic_category,all_gold_clusters,document_text,verified_head_gold_id,verified_tail_gold_id,human_note,manual_outcome,checked_by,checked_date
11,Qwen2.5-32B,19,Railroad Revival Tour,P577,big easy express,exact_unique,16: MISC :: Big Easy Express,sxsw 2012,containment_ambiguous_type,18: MISC :: SXSW; 19: TIME :: 2012,type_conflict_only,"0 [MISC] Railroad Revival Tour || 1 [LOC] Americana || 2 [TIME] 2011 || 3 [LOC] American Southwest || 4 [TIME] the 1950s || 5 [TIME] 1960s || 6 [NUM] 10,000 || 7 [NUM] 30 || 8 [LOC] American || 9 [LOC] U.S. || 10 [MISC] Mumford & Sons ' || 11 [PER] Woody Guthrie || 12 [ORG] Mumford & Sons || 13 [PER] Edward Sharpe || 14 [MISC] the Magnetic Zeros || 15 [ORG] Old Crow Medicine Show || 16 [MISC] Big Easy Express || 17 [PER] Emmett Malloy || 18 [MISC] SXSW || 19 [TIME] 2012 || 20 [MISC] Grammy Award || 21 [TIME] 2013 || 22 [MISC] iTunes || 23 [MISC] DVD / Blu - ray Disc || 24 [MISC] This Train || 25 [PER] Willie Nelson || 26 [ORG] Band of Horses || 27 [PER] Jamey Johnson || 28 [PER] John Reilly || 29 [ORG] Friends","The Railroad Revival Tour was an annual music tour that featured popular roots , folk , country , rock , bluegrass and Americana acts that began in 2011 . The musicians travel between shows across the American Southwest in a dozen or so vintage train cars from the 1950s and 1960s . The outdoor concert locations , sometimes attracting over 10,000 fans , are often a stone 's throw from the train . The bands eat , sleep and engage in impromptu jam sessions on the train between stops , giving them a chance to collaborate . On stage at night , they often join in on each other 's sets , sometimes bringing around 30 musicians up to create a rare and rowdy performance . The organic American roots feeling of the tour also prompts participating musicians to honor U.S. railway history , like Mumford & Sons ' tribute to Woody Guthrie in 2011 . The inaugural tour in 2011 included performances by Mumford & Sons , Edward Sharpe and the Magnetic Zeros , and Old Crow Medicine Show . A documentary of this first year , called Big Easy Express , directed by Emmett Malloy premiered at SXSW 2012 and won a Grammy Award in 2013 . The film is currently available on iTunes and DVD / Blu - ray Disc . In 2011 , Railroad Revival Tour bands Mumford & Sons , Edward Sharpe and the Magnetic Zeros , and Old Crow Medicine Show together closed their shows at every stop with "" This Train . "" The 2012 tour was slated to include performances by Willie Nelson , Band of Horses , Jamey Johnson , and John Reilly and Friends . However , the tour was cancelled for 2012 .",16,18,"head ""big easy express"" is the exact unique match to cluster 16 [MISC] (the documentary). tail ""sxsw 2012"": the text reads ""premiered at SXSW 2012"", i.e. the thing it premiered at is the SXSW festival, gold cluster 18 [MISC]; ""2012"" is separately annotated as cluster 19 [TIME] and only modifies the edition. The core referent of the mention is therefore SXSW (18).",RESOLVED_TO_GOLD_ID,Jiaxuan Li,2026-09-25
12,Qwen2.5-32B,99,Young Wild Things Tour,P527,the young wild things tour,containment_unique,0: MISC :: Young Wild Things Tour,31,unmatched,,unmatched_only,0 [MISC] Young Wild Things Tour || 1 [NUM] four || 2 [TIME] 2007 || 3 [ORG] Fall Out Boy | FOB || 4 [ORG] Gym Class Heroes || 5 [ORG] Plain White T 's || 6 [ORG] Cute Is What We Aim For || 7 [ORG] Doug || 8 [TIME] November 9 || 9 [NUM] $ 30 million || 10 [TIME] five hours || 11 [NUM] 1.5 million || 12 [NUM] 31-date || 13 [LOC] America || 14 [NUM] two || 15 [LOC] Canadian || 16 [TIME] October 18 || 17 [TIME] December 2 || 18 [PER] Maurice Sendak || 19 [TIME] 1963 || 20 [MISC] Where the Wild Things Are || 21 [PER] Rob Dobi || 22 [PER] Pete Wentz || 23 [LOC] Hollywood,"The Young Wild Things Tour was a four - band fall 2007 arena concert tour by Fall Out Boy with supporting acts Gym Class Heroes , Plain White T 's , Cute Is What We Aim For , and Doug ( from November 9 on ) . This is Fall Out Boy 's biggest tour to date , grossing over $ 30 million . The tour sold out in five hours , with over 1.5 million tickets sold . The tour was first announced on the Fall Out Boy website , but instead of the traditional method of announcing tour dates in the same release as the announcement of the tour itself , the bands chose an unusual method . Fans would text a certain number and would be given a code for their state / area . That code would then be entered on a website . After an unknown amount of codes were entered , the tour date would be unlocked . The 31-date tour was only held in America , except for two Canadian dates . The tour began on October 18 and ran through December 2 . Inspired by Maurice Sendak 's 1963 children 's book Where the Wild Things Are , the concert tour included sets designed by artist Rob Dobi , containing images from the book . Fall Out Boy bassist Pete Wentz explained , "" Where the Wild Things Are is a great narrative . It encapsulates pretty much every FOB song ever written : You know , tantrums and monster islands and all . "" "" There 's also a play on words of the young wild thing idea that everybody has with Hollywood and starlets right now . """,0,12,"head ""the young wild things tour"" is contained in cluster 0 [MISC]. tail ""31"" is the bare numeral of the quantity annotated as cluster 12 [NUM] ""31-date"" (""The 31-date tour was only held in America""); the model dropped the generic category word ""date"", so the mention denotes the same quantity.",RESOLVED_TO_GOLD_ID,Jiaxuan Li,2026-09-25
13,Qwen2.5-32B,155,Mehmet Çetingöz,P1344,mehmet eting z,exact_unique,0: PER :: Mehmet Çetingöz | Çetingöz,u23 team,unmatched,,unmatched_only,"0 [PER] Çetingöz | Mehmet Çetingöz || 1 [TIME] May 12, 1991 || 2 [LOC] Şanlıurfa || 3 [LOC] Turkey || 4 [LOC] Turkish || 5 [ORG] Beşiktaş JK || 6 [ORG] U23 || 7 [TIME] four years || 8 [NUM] fourteen || 9 [TIME] eight years || 10 [ORG] Şanlıurfa Wheelchair || 11 [TIME] August 2013 | April 17–23, 2013 || 12 [ORG] Turkish Wheelchair Basketball Super League || 13 [MISC] Fazza International Wheelchair Basketball Championships || 14 [LOC] Dubai","Mehmet Çetingöz ( born May 12 , 1991 in Şanlıurfa , Turkey ) is a Turkish wheelchair basketball player in center position . He is a 4 point player competing for Beşiktaş JK wheelchair basketball team . He is part of the Turkey men 's junior national wheelchair basketball team and captain of the U23 team . Çetingöz became paralyzed at his right leg as a result of polio he contracted when he was four years of age . He began with wheelchair basketball with fourteen in a disabled sports club in Şanlıurfa . After playing eight years for Şanlıurfa Wheelchair , he was transferred in August 2013 to Beşiktaş JK , which competes in the Turkish Wheelchair Basketball Super League . Çetingöz became champion with the national junior team at the 5th Fazza International Wheelchair Basketball Championships held on April 17–23 , 2013 in Dubai and was named Top Scorer .",0,6,"head ""mehmet eting z"" is a spelling/punctuation variant of cluster 0 [PER] Mehmet Çetingöz. tail ""u23 team"" is a descriptive expansion of the annotated mention ""U23"" in ""captain of the U23 team""; gold cluster 6 [ORG] U23 denotes that same team.",RESOLVED_TO_GOLD_ID,Jiaxuan Li,2026-09-25
14,Qwen2.5-32B,175,Torrejonian,P150,torrejonian,exact_unique,0: TIME :: Torrejonian | Torrejonian North American Stage,to3,unmatched,,unmatched_only,"0 [TIME] Torrejonian North American Stage | Torrejonian || 1 [LOC] North American || 2 [MISC] North American Land Mammal Ages || 3 [MISC] NALMA || 4 [TIME] 63,300,000 || 5 [TIME] 60,200,000 years BP || 6 [TIME] Selandian || 7 [TIME] Thanetian || 8 [TIME] Paleocene || 9 [TIME] Puercan || 10 [TIME] Tiffanian NALMA || 11 [TIME] Danian || 12 [MISC] To2 || 13 [NUM] 61.7 Ma","The Torrejonian North American Stage on the geologic timescale is the North American faunal stage according to the North American Land Mammal Ages chronology ( NALMA ) , typically set from 63,300,000 to 60,200,000 years BP lasting . It is usually considered to overlap the Selandian and Thanetian within the Paleocene . The Torrejonian is preceded by the Puercan and followed by the Tiffanian NALMA stages . The Torrejonian is considered to be contained within the Danian and contains the following substages : To3 : Lower boundary source of the base of the Torrejonian ( approximate ) . To2 : Lower boundary source of the base of the Torrejonian ( approximate ) and upper boundary source of the base of the Selandian ( approximate ) . To1 : Upper boundary source ( 61.7 Ma ) of the base of the Selandian ( approximate ) .",0,NONE,"head ""torrejonian"" is the exact unique match to cluster 0 [TIME]. The text lists three substages To3, To2 and To1, but only ""To2"" is annotated (cluster 12 [MISC]); ""To3"" is a distinct, unlabelled substage, so no gold cluster corresponds to the tail.",UNMATCHED_ONLY,Jiaxuan Li,2026-09-25
15,Qwen2.5-32B,179,List of songs recorded by Rage Against the Machine,P150,rage against the machine,exact_ambiguous_type,0: ORG :: Rage Against the Machine; 10: MISC :: Rage Against the Machine,zack de la rocha,exact_unique,5: PER :: Zack de la Rocha | de la Rocha,type_conflict_only,0 [ORG] Rage Against the Machine || 1 [LOC] American || 2 [LOC] Los Angeles || 3 [LOC] California || 4 [TIME] 1991 || 5 [PER] Zack de la Rocha | de la Rocha || 6 [PER] Tom Morello || 7 [PER] Tim Commerford || 8 [PER] Brad Wilk || 9 [ORG] Epic Records | Epic || 10 [MISC] Rage Against the Machine || 11 [TIME] 1992 || 12 [NUM] four || 13 [MISC] Year of tha Boomerang || 14 [MISC] Higher Learning soundtrack || 15 [TIME] 1995 || 16 [MISC] Evil Empire || 17 [TIME] 1996 || 18 [TIME] 1997 || 19 [PER] Bruce Springsteen || 20 [MISC] The Ghost of Tom Joad || 21 [MISC] No Shelter || 22 [MISC] Godzilla || 23 [TIME] 1999 || 24 [MISC] The Battle of Los Angeles || 25 [TIME] October 2000 || 26 [MISC] Renegades || 27 [TIME] December 2000,"Rage Against the Machine is an American rap metal band from Los Angeles , California . Formed in 1991 , the group consists of vocalist Zack de la Rocha , guitarist Tom Morello , bassist Tim Commerford and drummer Brad Wilk . After a self - issued demo , the band signed with Epic Records and released its self - titled debut album Rage Against the Machine in 1992 , the material for which was written by all four members of the group . After contributing the single "" Year of tha Boomerang "" to the Higher Learning soundtrack in 1995 , the band released its second studio album Evil Empire in 1996 , on which "" Year of tha Boomerang "" was featured as the closing track . In 1997 the band released a cover version of Bruce Springsteen 's "" The Ghost of Tom Joad "" , and the following year contributed "" No Shelter "" to the soundtrack to the film Godzilla , as well as releasing it as a single . In 1999 the band released its final album of original material , The Battle of Los Angeles , which again credited all four members equally for songwriting . The group disbanded in October 2000 , after de la Rocha departed to focus on producing his first solo album . After the group 's breakup , Epic released Renegades in December 2000 , which featured cover versions of songs originally recorded by several hip hop artists , rock bands and other artists .",0,5,"The gold annotation assigns the same surface form ""Rage Against the Machine"" to cluster 0 [ORG] (the band) and cluster 10 [MISC] (the self-titled album). The model entity inventory labels the bare name as ORG, and the source distinguishes the band from the eponymous album; therefore head = 0. Tail is the exact unique match to cluster 5 [PER] Zack de la Rocha.",RESOLVED_TO_GOLD_ID,Jiaxuan Li,2026-09-25
16,Qwen2.5-32B,187,Great South Australian Coastal Upwelling System,P150,austral summer,unmatched,,november,exact_unique,6: TIME :: November,unmatched_only,0 [MISC] GSACUS | Great South Australian Coastal Upwelling System | Great Southern Australian Coastal Upwelling System || 1 [LOC] Great Australian Bight || 2 [LOC] Ceduna || 3 [LOC] South Australia || 4 [LOC] Portland || 5 [LOC] Victoria || 6 [TIME] November || 7 [ORG] Ekman || 8 [LOC] Western Australia || 9 [LOC] Nullabor || 10 [LOC] Australia || 11 [LOC] Tasmania || 12 [LOC] South Australian,"The Great South Australian Coastal Upwelling System is a seasonal upwelling system in the eastern Great Australian Bight , extending from Ceduna , South Australia , to Portland , Victoria , over a distance of about . Upwelling events occur in the austral summer ( from November to May ) when seasonal winds blow from the southeast . These winds blow parallel to the shoreline at certain areas of the coast , which forces coastal waters offshore via Ekman transport and draws up cold , nutrient - rich waters from the ocean floor . Because the deep water carries abundant nutrients up from the ocean floor , the upwelling area differs from the rest of the Great Australian Bight , especially the areas offshore of Western Australia and the Nullabor in South Australia , which are generally nutrient - poor . Every summer , the upwelling sustains a bountiful ecosystem that attracts blue whales and supports rich fisheries . The Great South Australian Coastal Upwelling System ( GSACUS ) is Australia 's only deep - reaching coastal upwelling system , with nutrient - enriched water stemming from depths exceeding . Recently , a new upwelling centre has been discovered on the western shelf of Tasmania . Since this new upwelling centre is located outside South Australian waters , the entire upwelling system should be rather called the Great Southern Australian Coastal Upwelling System .",NONE,6,"tail ""november"" is the exact unique match to cluster 6 [TIME] November. head ""austral summer"" denotes the season November-May; the gold annotation covers only the month November and there is no cluster for the season itself, so the head has no gold counterpart.",UNMATCHED_ONLY,Jiaxuan Li,2026-09-25
17,Qwen2.5-32B,187,Great South Australian Coastal Upwelling System,P150,austral summer,unmatched,,may,unmatched,,unmatched_only,0 [MISC] GSACUS | Great South Australian Coastal Upwelling System | Great Southern Australian Coastal Upwelling System || 1 [LOC] Great Australian Bight || 2 [LOC] Ceduna || 3 [LOC] South Australia || 4 [LOC] Portland || 5 [LOC] Victoria || 6 [TIME] November || 7 [ORG] Ekman || 8 [LOC] Western Australia || 9 [LOC] Nullabor || 10 [LOC] Australia || 11 [LOC] Tasmania || 12 [LOC] South Australian,"The Great South Australian Coastal Upwelling System is a seasonal upwelling system in the eastern Great Australian Bight , extending from Ceduna , South Australia , to Portland , Victoria , over a distance of about . Upwelling events occur in the austral summer ( from November to May ) when seasonal winds blow from the southeast . These winds blow parallel to the shoreline at certain areas of the coast , which forces coastal waters offshore via Ekman transport and draws up cold , nutrient - rich waters from the ocean floor . Because the deep water carries abundant nutrients up from the ocean floor , the upwelling area differs from the rest of the Great Australian Bight , especially the areas offshore of Western Australia and the Nullabor in South Australia , which are generally nutrient - poor . Every summer , the upwelling sustains a bountiful ecosystem that attracts blue whales and supports rich fisheries . The Great South Australian Coastal Upwelling System ( GSACUS ) is Australia 's only deep - reaching coastal upwelling system , with nutrient - enriched water stemming from depths exceeding . Recently , a new upwelling centre has been discovered on the western shelf of Tasmania . Since this new upwelling centre is located outside South Australian waters , the entire upwelling system should be rather called the Great Southern Australian Coastal Upwelling System .",NONE,NONE,"Neither argument has a gold counterpart. head ""austral summer"" is the season November-May, not annotated as such (cluster 6 [TIME] is only the month November). tail ""may"" is the month May from ""from November to May"", which is likewise not annotated; gold cluster 6 covers November only.",UNMATCHED_ONLY,Jiaxuan Li,2026-09-25
18,Qwen2.5-32B,190,Chachalaca,P131,chachalacas,exact_ambiguous_type,0: MISC :: Chachalacas; 12: LOC :: chachalacas,oligocene,exact_unique,13: TIME :: Oligocene,type_conflict_only,0 [MISC] Chachalacas || 1 [MISC] Ortalis || 2 [LOC] United States || 3 [LOC] Texas || 4 [LOC] Mexico || 5 [LOC] Central || 6 [LOC] South America || 7 [NUM] six || 8 [NUM] twelve || 9 [NUM] two || 10 [MISC] Greek || 11 [NUM] four || 12 [LOC] chachalacas || 13 [TIME] Oligocene || 14 [NUM] 40–20 mya,"Chachalacas are galliform birds from the genus Ortalis . These birds are found in wooded habitats in far southern United States ( Texas ) , Mexico , and Central and South America . They are social , can be very noisy and often remain fairly common even near humans , as their relatively small size makes them less desirable to hunters than their larger relatives . As invasive pests , they have a ravenous appetite for tomatoes , melons , beans , and radishes and can ravage a small garden in short order . They travel in packs of six to twelve . They somewhat resemble the guans , and the two have commonly been placed in a subfamily together , though the chachalacas are probably closer to the curassows . The generic name is derived from the Greek word όρταλις , meaning "" pullet "" or "" domestic hen . "" The common name is an onomatopoeia for the four - noted cackle of the plain chachalaca ( O. vetula ) . Mitochondrial and nuclear DNA sequence data tentatively suggest that the chachalacas emerged as a distinct lineage during the Oligocene , somewhere around 40–20 mya , possibly being the first lineage of modern cracids to evolve ; this does agree with the known fossil record – including indeterminate , cracid - like birds – which very cautiously favors a north - to - south expansion of the family .",0,13,"The gold annotation assigns the same surface ""Chachalacas"" to cluster 0 [MISC] (the bird group) and cluster 12 [LOC]. In the source, this mention is the biological lineage that emerged during the Oligocene; cluster 12 appears to be a duplicated or mistyped location annotation. Therefore head = 0. Tail is the exact unique match to cluster 13 [TIME] Oligocene.",RESOLVED_TO_GOLD_ID,Jiaxuan Li,2026-09-25
19,Qwen2.5-32B,190,Chachalaca,P131,chachalacas,exact_ambiguous_type,0: MISC :: Chachalacas; 12: LOC :: chachalacas,40 20 mya,exact_unique,14: NUM :: 40–20 mya,type_conflict_only,0 [MISC] Chachalacas || 1 [MISC] Ortalis || 2 [LOC] United States || 3 [LOC] Texas || 4 [LOC] Mexico || 5 [LOC] Central || 6 [LOC] South America || 7 [NUM] six || 8 [NUM] twelve || 9 [NUM] two || 10 [MISC] Greek || 11 [NUM] four || 12 [LOC] chachalacas || 13 [TIME] Oligocene || 14 [NUM] 40–20 mya,"Chachalacas are galliform birds from the genus Ortalis . These birds are found in wooded habitats in far southern United States ( Texas ) , Mexico , and Central and South America . They are social , can be very noisy and often remain fairly common even near humans , as their relatively small size makes them less desirable to hunters than their larger relatives . As invasive pests , they have a ravenous appetite for tomatoes , melons , beans , and radishes and can ravage a small garden in short order . They travel in packs of six to twelve . They somewhat resemble the guans , and the two have commonly been placed in a subfamily together , though the chachalacas are probably closer to the curassows . The generic name is derived from the Greek word όρταλις , meaning "" pullet "" or "" domestic hen . "" The common name is an onomatopoeia for the four - noted cackle of the plain chachalaca ( O. vetula ) . Mitochondrial and nuclear DNA sequence data tentatively suggest that the chachalacas emerged as a distinct lineage during the Oligocene , somewhere around 40–20 mya , possibly being the first lineage of modern cracids to evolve ; this does agree with the known fossil record – including indeterminate , cracid - like birds – which very cautiously favors a north - to - south expansion of the family .",0,14,"The gold annotation assigns the same surface ""Chachalacas"" to cluster 0 [MISC] (the bird group) and cluster 12 [LOC]. In the source, this mention denotes the biological lineage rather than a location; cluster 12 appears to be a duplicated or mistyped annotation. Therefore head = 0. Tail ""40 20 mya"" is the punctuation-normalized form of cluster 14 [NUM] ""40–20 mya"".",RESOLVED_TO_GOLD_ID,Jiaxuan Li,2026-09-25
20,Qwen2.5-32B,211,William Hepburn Armstrong,P1344,william hepburn armstrong,exact_unique,0: PER :: Armstrong | William H. Armstrong | William Hepburn Armstrong,commissioner of railroads,unmatched,,unmatched_only,"0 [PER] William Hepburn Armstrong | Armstrong | William H. Armstrong || 1 [TIME] September 7 , 1824 || 2 [TIME] May 14 , 1919 || 3 [ORG] Republican || 4 [ORG] U.S. House of Representatives || 5 [LOC] Pennsylvania || 6 [LOC] Williamsport || 7 [ORG] Princeton College || 8 [TIME] 1847 || 9 [ORG] Pennsylvania State House of Representatives || 10 [TIME] 1860 || 11 [TIME] 1861 || 12 [TIME] 1862 || 13 [ORG] Forty - first Congress || 14 [TIME] 1870 || 15 [LOC] Indian || 16 [PER] Ulysses S. Grant || 17 [TIME] 1882 || 18 [TIME] 1885 || 19 [LOC] Washington , D.C. || 20 [LOC] Philadelphia || 21 [TIME] 1898 || 22 [LOC] Wilmington || 23 [LOC] Delaware || 24 [TIME] 1919 || 25 [LOC] Wilmington and Brandywine Cemetery","William Hepburn Armstrong ( September 7 , 1824 – May 14 , 1919 ) was a Republican member of the U.S. House of Representatives from Pennsylvania . William H. Armstrong was born in Williamsport , Pennsylvania . He graduated from Princeton College in 1847 . He studied law , was admitted to the bar and commenced practice in Williamsport . He served in the Pennsylvania State House of Representatives in 1860 and 1861 . He declined a commission as president judge of the twenty - sixth judicial circuit of Pennsylvania in 1862 . Armstrong was elected as a Republican to the Forty - first Congress . He was an unsuccessful candidate for reelection in 1870 . He declined the office of commissioner of Indian affairs tendered by President Ulysses S. Grant . He served as commissioner of railroads from 1882 to 1885 . He resumed the practice of law in Washington , D.C. , and Philadelphia , until 1898 , when he retired from active business pursuits . He moved to Wilmington , Delaware , where he died in 1919 . Interment in Wilmington and Brandywine Cemetery .",0,NONE,"head ""william hepburn armstrong"" is the exact unique match to cluster 0 [PER]. tail ""commissioner of railroads"" from ""He served as commissioner of railroads from 1882 to 1885"" is a post/office, not an entity; no gold cluster in this document (Republican, U.S. House of Representatives, Princeton College, Pennsylvania State House of Representatives, Forty-first Congress) denotes it.",UNMATCHED_ONLY,Jiaxuan Li,2026-09-25
21,Qwen2.5-32B,230,Mavis Grind,P1344,otters,unmatched,,mavis grind,exact_unique,0: LOC :: Mavis Grind,unmatched_only,0 [LOC] Mavis Grind || 1 [LOC] Northmavine || 2 [LOC] Shetland Mainland || 3 [LOC] Shetland Islands | Shetland || 4 [LOC] UK || 5 [LOC] A970 || 6 [LOC] Hillswick || 7 [NUM] two miles || 8 [LOC] Brae || 9 [LOC] North Sea || 10 [LOC] Atlantic Ocean || 11 [TIME] 1999 || 12 [LOC] Viking || 13 [TIME] Bronze Age,"Mavis Grind ( or , meaning "" gate of the narrow isthmus "" ) is a narrow isthmus joining the Northmavine peninsula to the rest of the island of Shetland Mainland in the Shetland Islands , UK . It is just wide at its narrowest point . It carries the main A970 road to Hillswick in the north west of Shetland and is about two miles west of the settlement of Brae . Mavis Grind is said to be the only place in the UK where you can toss a stone across land from the North Sea to the Atlantic Ocean . It is a regular crossing point for otters , which in Shetland are sea - dwelling . In 1999 , local volunteers successfully helped to demonstrate whether Viking ships could be carried across the isthmus , instead of sailing around the end of the island . Remains of a late Bronze Age settlement have been found close by .",NONE,0,"tail ""mavis grind"" is the exact unique match to cluster 0 [LOC]. head ""otters"" comes from ""a regular crossing point for otters""; it is a generic animal class with no named referent, and no gold cluster in this document denotes otters.",UNMATCHED_ONLY,Jiaxuan Li,2026-09-25
22,Qwen2.5-32B,287,Washington v. Texas,P1344,washington v texas,containment_ambiguous_type,0: PER :: Jackie Washington | Washington; 15: MISC :: Washington,united states supreme court,exact_unique,5: ORG :: Court | Supreme Court | United States Supreme Court,type_conflict_only,0 [PER] Washington | Jackie Washington || 1 [LOC] Texas | Due Process Clause || 2 [NUM] 388 || 3 [LOC] U.S. || 4 [TIME] 1967 || 5 [ORG] United States Supreme Court | Court | Supreme Court || 6 [MISC] Compulsory Process Clause || 7 [MISC] Sixth Amendment to the Constitution || 8 [LOC] Texas || 9 [MISC] Fourteenth Amendment || 10 [PER] John Marshall Harlan II || 11 [PER] Taylor || 12 [ORG] Illinois || 13 [TIME] 1988 || 14 [MISC] Taylor || 15 [MISC] Washington,"Washington v. Texas , 388 U.S. 14 ( 1967 ) , is a United States Supreme Court case in which the Court decided that the Compulsory Process Clause of the Sixth Amendment to the Constitution ( guaranteeing the right of a criminal defendant to force the attendance of witnesses for their side ) is applicable in state courts as well as federal courts . Jackie Washington had attempted to call his co - defendant as a witness , but was blocked by Texas courts because state law prevented co - defendants from testifying for each other , under the theory that they would be likely to lie for each other on the stand . The Supreme Court reasoned that the Due Process Clause of the Fourteenth Amendment made the right to be able to compel defense witnesses to testify necessary for a defendant 's "" due process "" rights to fair proceedings , which applies to the states . Only Justice John Marshall Harlan II parted from the Court 's "" due process "" focus , though he agreed with the outcome , as he regularly did in cases involving whether to apply federal rights to state courts . The impact of Washington was narrowed by a later case , Taylor v. Illinois ( 1988 ) , in which the Court said that "" countervailing public interests "" , like the need to move through cases quickly , could be balanced against a defendant 's right to present witnesses . In Taylor , the Supreme Court upheld a judge 's order blocking defense witnesses from testifying due to the defense attorney 's deliberate failure to disclose evidence to prosecutors earlier in the trial . The defense attorney 's actions resulted in a lengthy delay in the proceedings which the trial judge felt was unjustified . Legal scholars have seen this new grant of discretion to trial judges as a change to relying on "" efficient justice "" , a more limited vision of trial rights than the "" right to present a defense "" created in Washington .",15,5,"The emitted head contains ""Washington"", which matches both cluster 0 [PER] Jackie Washington and cluster 15 [MISC] Washington. ""washington v texas"" is the name of the Supreme Court case, and in this text ""Washington"" in cluster 15 is used metonymically for that case (""The impact of Washington was narrowed by a later case""), so the head denotes cluster 15, not the person in cluster 0. tail is the exact unique match to 5 [ORG] United States Supreme Court.",RESOLVED_TO_GOLD_ID,Jiaxuan Li,2026-09-25
23,Qwen2.5-32B,291,"They Shoot Horses, Don't They? (film)",P495,they shoot horses don t they,unmatched,,american,exact_unique,2: LOC :: American,unmatched_only,"0 [MISC] They Shoot Horses , Do n't They || 1 [TIME] 1969 | December 10, 1969 || 2 [LOC] American || 3 [PER] Horace McCoy || 4 [TIME] 1935 || 5 [PER] Sydney Pollack || 6 [PER] James Poe || 7 [PER] Robert E. Thompson || 8 [MISC] Depression || 9 [PER] MC || 10 [PER] Jane Fonda | Fonda || 11 [PER] Michael Sarrazin || 12 [PER] Susannah York | York || 13 [PER] Red Buttons || 14 [PER] Bruce Dern || 15 [PER] Bonnie Bedelia || 16 [PER] Gig Young | Young || 17 [MISC] 23rd Cannes Film Festival || 18 [LOC] the United States || 19 [NUM] $12.6 million || 20 [NUM] $4.86 million || 21 [NUM] nine || 22 [MISC] 42nd Academy Awards || 23 [MISC] Best Director || 24 [MISC] Best Actress || 25 [MISC] Best Supporting Actress || 26 [MISC] Best Adapted Screenplay || 27 [MISC] Best Supporting Actor || 28 [MISC] Best Picture","They Shoot Horses , Do n't They ? is a 1969 American depression - era melodrama film based on Horace McCoy 's 1935 novel of the same name and directed by Sydney Pollack . The screenplay was written by James Poe and Robert E. Thompson . The film focuses on a disparate group of characters desperate to win a Depression - era dance marathon and the opportunistic emcee ( MC ) who urges them on to victory . It stars Jane Fonda , Michael Sarrazin , Susannah York , Red Buttons , Bruce Dern , Bonnie Bedelia and Gig Young . The film premiered at the 23rd Cannes Film Festival and was released theatrically in the United States on December 10 , 1969 . The film upon release was a critical and commercial success , grossing $ 12.6 million on a budget of $ 4.86 million , becoming the sixteenth highest grossing film of 1969 . Critics praised its direction , screenplay , depiction of the depression - era and performances , most notably of Fonda 's which marked a significant turning point in her career . The film received nine nominations at the 42nd Academy Awards including Best Director , Best Actress ( for Fonda ) , Best Supporting Actress ( for York ) , Best Adapted Screenplay and winning Best Supporting Actor ( for Young ) . It is the most nominated film in the history of the aforementioned awards without a Best Picture nomination .",0,2,"head ""they shoot horses don t they"" is the film title with apostrophes and commas stripped; it is the same entity as gold cluster 0 [MISC] ""They Shoot Horses , Do n't They"". tail ""american"" is the exact unique match to cluster 2 [LOC] American.",RESOLVED_TO_GOLD_ID,Jiaxuan Li,2026-09-25
