model,document_index,title,n_entities,n_relations,n_violations,n_checkable_violations,n_uncheckable_violations,certificate_bound,gold_checkable_bound,gold_verifiable_errors,entity_type_errors,spurious_relation_errors,detectable_errors,tightness_ratio,conflicts_per_relation,bound_per_relation,cross_model_disagreement,n_vertices,n_hyperedges,mean_hyperedge_cardinality,maximum_hyperedge_cardinality,maximum_vertex_degree,n_components,largest_component_vertices,largest_component_hyperedges,hyperedge_overlap_density,incidence_density,matching_number
Qwen2.5-14B,15,Eivind Bolle,16,7,1,1,0,1,1,5,1,4,1,0.2,0.14285714285714285,0.14285714285714285,0.7102941176470589,3,1,3.0,3,1,1,3,1,0.0,1.0,1
Qwen2.5-14B,16,Henrik Angell,29,20,1,1,0,1,1,15,1,14,2,0.06666666666666667,0.05,0.05,0.7589087809036658,3,1,3.0,3,1,1,3,1,0.0,1.0,1
Qwen2.5-14B,17,Carey Business School,14,10,0,0,0,0,0,9,1,8,0,0.0,0.0,0.0,0.9325670498084291,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,18,Lehmann Bernheimer,21,21,6,6,0,1,1,15,1,14,6,0.06666666666666667,0.2857142857142857,0.047619047619047616,0.8700280112044818,12,6,3.0,3,6,1,12,6,1.0,0.25,1
Qwen2.5-14B,19,Railroad Revival Tour,19,16,0,0,0,0,0,16,3,13,0,0.0,0.0,0.0,0.9888888888888889,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,20,Australia–Chile Free Trade Agreement,24,22,14,11,3,2,2,20,1,19,11,0.1,0.6363636363636364,0.09090909090909091,0.964665815240528,30,14,3.0,3,12,2,25,12,0.7362637362637363,0.1,2
Qwen2.5-14B,21,South Gondar Zone,19,7,0,0,0,0,0,5,0,5,0,0.0,0.0,0.0,0.9583333333333334,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,22,Morogoro Region,13,2,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.9696969696969697,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,23,Manon Balletti,11,11,3,2,1,2,1,9,1,8,2,0.1111111111111111,0.2727272727272727,0.18181818181818182,0.9470828688219993,7,3,3.0,3,2,1,7,3,0.6666666666666666,0.42857142857142855,2
Qwen2.5-14B,24,Pittsburgh Catholic,11,7,3,3,0,1,1,6,2,4,4,0.16666666666666666,0.42857142857142855,0.14285714285714285,0.9163398692810457,7,3,3.0,3,3,1,7,3,1.0,0.42857142857142855,1
Qwen2.5-14B,25,Toufique Imrose Khalidi,12,6,2,2,0,1,1,3,0,3,2,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.6685185185185185,5,2,3.0,3,2,1,5,2,1.0,0.6,1
Qwen2.5-14B,26,Mark McNamara,17,15,5,2,3,1,1,10,1,9,2,0.1,0.3333333333333333,0.06666666666666667,0.5440452984312634,11,5,3.0,3,5,1,11,5,1.0,0.2727272727272727,1
Qwen2.5-14B,27,Nexus Q,2,11,0,0,0,0,0,11,0,11,0,0.0,0.0,0.0,0.8805704099821746,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,28,Cranks and Shadows,9,6,3,3,0,2,2,7,1,6,3,0.2857142857142857,0.5,0.3333333333333333,0.8273504273504274,8,3,3.0,3,2,2,5,2,0.3333333333333333,0.375,2
Qwen2.5-14B,29,The Christian Manifesto,11,7,1,1,0,1,1,5,0,5,1,0.2,0.14285714285714285,0.14285714285714285,0.9523809523809524,3,1,3.0,3,1,1,3,1,0.0,1.0,1
Qwen2.5-14B,30,Joseph in Islam,19,15,4,4,0,3,3,22,8,14,8,0.13636363636363635,0.26666666666666666,0.2,0.927787188656754,11,4,3.0,3,2,3,5,2,0.16666666666666666,0.2727272727272727,3
Qwen2.5-14B,31,List of Prime Ministers of Thailand,16,16,6,6,0,3,3,17,4,13,7,0.17647058823529413,0.375,0.1875,0.9733333333333333,12,5,3.0,3,3,2,9,4,0.4,0.25,3
Qwen2.5-14B,32,Rogaland County Municipality,2,11,0,0,0,0,0,8,1,7,0,0.0,0.0,0.0,0.84850609885673,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,33,Kyoto Imperial Palace,11,11,4,4,0,1,1,7,0,7,4,0.14285714285714285,0.36363636363636365,0.09090909090909091,0.9824561403508772,9,4,3.0,3,4,1,9,4,1.0,0.3333333333333333,1
Qwen2.5-14B,34,The Yorkshire Post,17,16,1,1,0,1,1,14,0,14,1,0.07142857142857142,0.0625,0.0625,0.5806397306397307,3,1,3.0,3,1,1,3,1,0.0,1.0,1
Qwen2.5-14B,35,Won-yong,13,9,0,0,0,0,0,2,1,1,0,0.0,0.0,0.0,0.48056415548675613,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,36,Ramada (shelter),10,7,2,1,1,2,1,3,1,2,2,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.8928571428571428,6,2,3.0,3,1,2,3,1,0.0,0.5,2
Qwen2.5-14B,37,Björn von der Esch,23,11,1,1,0,1,1,12,4,8,1,0.08333333333333333,0.09090909090909091,0.09090909090909091,0.7624798711755233,3,1,3.0,3,1,1,3,1,0.0,1.0,1
Qwen2.5-14B,38,Fyllingen Fotball,25,19,10,10,0,1,1,20,6,14,12,0.05,0.5263157894736842,0.05263157894736842,0.8309483385884064,21,10,3.0,3,10,1,21,10,1.0,0.14285714285714285,1
Qwen2.5-14B,39,Martin Ulrich,13,18,7,7,0,1,1,17,1,16,7,0.058823529411764705,0.3888888888888889,0.05555555555555555,0.7572946859903382,15,7,3.0,3,7,1,15,7,1.0,0.2,1
Qwen2.5-14B,40,Two Doors Down,13,11,8,8,0,1,1,11,1,10,8,0.09090909090909091,0.7272727272727273,0.09090909090909091,0.9265700483091788,15,7,3.0,3,7,1,15,7,1.0,0.2,1
Qwen2.5-14B,41,Think Bike,14,10,0,0,0,0,0,7,0,7,0,0.0,0.0,0.0,0.8824561403508772,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,42,United States Naval Forces Germany,19,18,3,3,0,1,1,16,0,16,3,0.0625,0.16666666666666666,0.05555555555555555,0.8813888888888889,7,3,3.0,3,3,1,7,3,1.0,0.42857142857142855,1
Qwen2.5-14B,43,Cry for Help,18,16,4,4,0,1,1,13,1,12,4,0.07692307692307693,0.25,0.0625,0.8508012820512821,9,4,3.0,3,4,1,9,4,1.0,0.3333333333333333,1
Qwen2.5-14B,44,Surreal (song),14,14,1,1,0,1,1,9,0,9,1,0.1111111111111111,0.07142857142857142,0.07142857142857142,0.7981920040743571,3,1,3.0,3,1,1,3,1,0.0,1.0,1
Qwen2.5-14B,45,Between Five and Seven,22,17,2,2,0,2,2,17,5,12,4,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.8377995642701525,6,2,3.0,3,1,2,3,1,0.0,0.5,2
Qwen2.5-14B,46,List of Square Enix video games,16,17,6,6,0,1,1,15,0,15,6,0.06666666666666667,0.35294117647058826,0.058823529411764705,0.965873015873016,10,6,3.0,3,6,1,10,6,1.0,0.3,1
Qwen2.5-14B,47,Velocifero,21,19,3,3,0,2,2,15,1,14,3,0.13333333333333333,0.15789473684210525,0.10526315789473684,0.8263888888888888,8,3,3.0,3,2,2,5,2,0.3333333333333333,0.375,2
Qwen2.5-14B,48,Zakhary Lyapunov,15,14,0,0,0,0,0,10,3,7,0,0.0,0.0,0.0,0.8395061728395062,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,49,Kriegers Flak,14,13,3,3,0,3,3,14,2,12,5,0.21428571428571427,0.23076923076923078,0.23076923076923078,0.8003565062388592,9,3,3.0,3,1,3,3,1,0.0,0.3333333333333333,3
Qwen2.5-14B,50,Enasa,13,10,5,5,0,1,1,10,2,8,5,0.1,0.5,0.1,0.8442265795206971,9,5,3.0,3,5,1,9,5,1.0,0.3333333333333333,1
Qwen2.5-14B,51,Christian worship,13,11,3,1,2,2,1,12,4,8,3,0.08333333333333333,0.2727272727272727,0.18181818181818182,0.9722222222222222,8,3,3.0,3,2,2,5,2,0.3333333333333333,0.375,2
Qwen2.5-14B,52,Johan Gottlieb Gahn,21,17,3,2,1,2,1,9,0,9,2,0.1111111111111111,0.17647058823529413,0.11764705882352941,0.8832954545454546,8,3,3.0,3,2,2,5,2,0.3333333333333333,0.375,2
Qwen2.5-14B,53,Bohumín,9,13,0,0,0,0,0,9,1,8,0,0.0,0.0,0.0,0.8093567251461988,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,54,Leonessa,15,11,0,0,0,0,0,7,1,6,0,0.0,0.0,0.0,0.7736111111111111,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,55,Philippine Commission,16,12,3,3,0,2,2,10,1,9,3,0.2,0.25,0.16666666666666666,0.9722222222222222,8,3,3.0,3,2,2,5,2,0.3333333333333333,0.375,2
Qwen2.5-14B,56,Chopin and his Europe,23,16,0,0,0,0,0,15,1,14,0,0.0,0.0,0.0,0.9102132435465768,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,57,Gujranwala,12,8,0,0,0,0,0,7,2,5,0,0.0,0.0,0.0,0.9137254901960784,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,58,Beibu Gulf Economic Rim,9,9,1,1,0,1,1,12,4,8,2,0.08333333333333333,0.1111111111111111,0.1111111111111111,0.9803921568627452,3,1,3.0,3,1,1,3,1,0.0,1.0,1
Qwen2.5-14B,59,Luis Roche,14,16,0,0,0,0,0,14,0,14,0,0.0,0.0,0.0,0.9313319530710835,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,60,Nikos Aliagas,19,15,7,7,0,2,2,12,0,12,7,0.16666666666666666,0.4666666666666667,0.13333333333333333,0.7919048497141804,15,7,3.0,3,5,1,15,7,0.6190476190476191,0.2,2
Qwen2.5-14B,61,List of Property Brothers episodes,2,9,0,0,0,0,0,3,0,3,0,0.0,0.0,0.0,0.7833333333333333,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,62,Anatoly Chubais,2,11,0,0,0,0,0,7,0,7,0,0.0,0.0,0.0,0.7996589940323955,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,63,"Navy, Army and Air Force Institutes",22,20,5,5,0,3,3,13,3,10,7,0.23076923076923078,0.25,0.15,0.9272125723738628,13,5,3.0,3,3,3,7,3,0.3,0.23076923076923078,3
Qwen2.5-14B,64,Jefferson Madeira,16,16,11,11,0,3,3,14,1,13,10,0.21428571428571427,0.6875,0.1875,0.8938172043010754,21,10,3.0,3,5,1,21,10,0.4666666666666667,0.14285714285714285,3
Qwen2.5-14B,65,Aspren,12,12,1,1,0,1,1,13,1,12,1,0.07692307692307693,0.08333333333333333,0.08333333333333333,0.8744588744588744,3,1,3.0,3,1,1,3,1,0.0,1.0,1
Qwen2.5-14B,66,Jimmy Frise,20,15,0,0,0,0,0,11,2,9,0,0.0,0.0,0.0,0.8998397435897436,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,67,Vineeth Sreenivasan,22,13,1,1,0,1,1,8,1,7,1,0.125,0.07692307692307693,0.07692307692307693,0.7977729885057471,3,1,3.0,3,1,1,3,1,0.0,1.0,1
Qwen2.5-14B,68,"Zabiele, Warmian-Masurian Voivodeship",12,9,0,0,0,0,0,7,0,7,0,0.0,0.0,0.0,0.8698550724637681,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,69,"Clark Lake (Gogebic County, Michigan)",12,10,0,0,0,0,0,5,0,5,0,0.0,0.0,0.0,0.8769719169719169,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,70,O'Shaughnessy Dam (Ohio),13,11,1,1,0,1,1,14,4,10,3,0.07142857142857142,0.09090909090909091,0.09090909090909091,0.8549019607843137,3,1,3.0,3,1,1,3,1,0.0,1.0,1
Qwen2.5-14B,71,Vase de Noces,11,6,0,0,0,0,0,3,0,3,0,0.0,0.0,0.0,0.888111888111888,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,72,War of the Quadruple Alliance,17,13,1,1,0,1,1,9,3,6,1,0.1111111111111111,0.07692307692307693,0.07692307692307693,0.9761904761904763,3,1,3.0,3,1,1,3,1,0.0,1.0,1
Qwen2.5-14B,73,Can't Take My Eyes Off You,13,12,7,3,4,4,3,4,0,4,3,0.75,0.5833333333333334,0.3333333333333333,0.9076479076479077,17,7,3.0,3,4,3,11,5,0.3333333333333333,0.17647058823529413,4
Qwen2.5-14B,74,Angleton High School,18,14,0,0,0,0,0,14,3,11,0,0.0,0.0,0.0,0.900952380952381,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,75,List of colleges and universities in Connecticut,10,11,0,0,0,0,0,9,2,7,0,0.0,0.0,0.0,0.6825396825396824,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,76,Ost Autobahn,19,18,3,3,0,1,1,20,6,14,7,0.05,0.16666666666666666,0.05555555555555555,0.8351804489911907,7,3,3.0,3,3,1,7,3,1.0,0.42857142857142855,1
Qwen2.5-14B,77,Anthony Steel (actor),11,8,0,0,0,0,0,7,2,5,0,0.0,0.0,0.0,0.6565656565656567,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,78,Dieudonné Gnammankou,15,11,2,2,0,1,1,11,2,9,4,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.866926406926407,5,2,3.0,3,2,1,5,2,1.0,0.6,1
Qwen2.5-14B,79,Your Disco Needs You,16,15,1,1,0,1,1,13,0,13,1,0.07692307692307693,0.06666666666666667,0.06666666666666667,0.7515262515262515,3,1,3.0,3,1,1,3,1,0.0,1.0,1
Qwen2.5-14B,80,Outline of South Sudan,2,10,0,0,0,0,0,5,0,5,0,0.0,0.0,0.0,0.7144249512670565,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,81,Liverpool Neurological Infectious Diseases Course,14,5,1,1,0,1,1,4,1,3,1,0.25,0.2,0.2,0.4646464646464647,3,1,3.0,3,1,1,3,1,0.0,1.0,1
Qwen2.5-14B,82,Breakout (video game),14,1,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.7555555555555555,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,83,Winnebago War,13,7,0,0,0,0,0,8,3,5,0,0.0,0.0,0.0,0.8683501683501683,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,84,Schizoanalysis,7,4,0,0,0,0,0,4,0,4,0,0.0,0.0,0.0,0.746031746031746,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,85,Paul Beliën,13,12,3,3,0,2,2,12,2,10,4,0.16666666666666666,0.25,0.16666666666666666,0.823529411764706,7,3,3.0,3,2,1,7,3,0.6666666666666666,0.42857142857142855,2
Qwen2.5-14B,86,John R. Thurman,19,11,1,1,0,1,1,10,1,9,2,0.1,0.09090909090909091,0.09090909090909091,0.6552631578947369,3,1,3.0,3,1,1,3,1,0.0,1.0,1
Qwen2.5-14B,87,María la del Barrio,24,22,1,1,0,1,1,21,0,21,1,0.047619047619047616,0.045454545454545456,0.045454545454545456,0.9266066589237321,3,1,3.0,3,1,1,3,1,0.0,1.0,1
Qwen2.5-14B,88,Tigran Petrosian,9,9,1,1,0,1,1,6,1,5,1,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.8869047619047619,3,1,3.0,3,1,1,3,1,0.0,1.0,1
Qwen2.5-14B,89,This Little Girl of Mine,13,11,1,1,0,1,1,7,0,7,1,0.14285714285714285,0.09090909090909091,0.09090909090909091,0.8298245614035088,3,1,3.0,3,1,1,3,1,0.0,1.0,1
Qwen2.5-14B,90,Ernesto D'Alessio,19,12,4,4,0,1,1,7,1,6,2,0.14285714285714285,0.3333333333333333,0.08333333333333333,0.8670006464124111,5,2,3.0,3,2,1,5,2,1.0,0.6,1
Qwen2.5-14B,91,João Paulo de Silva,12,12,5,3,2,3,2,7,2,5,4,0.2857142857142857,0.4166666666666667,0.25,0.7297385620915033,11,5,3.0,3,2,2,8,4,0.4,0.2727272727272727,3
Qwen2.5-14B,92,Regal Mountain,14,15,0,0,0,0,0,10,0,10,0,0.0,0.0,0.0,0.8809219728759959,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,93,Il regalo più grande,12,13,6,6,0,2,2,11,0,11,6,0.18181818181818182,0.46153846153846156,0.15384615384615385,0.8610343061955965,13,6,3.0,3,5,1,13,6,0.7333333333333333,0.23076923076923078,2
Qwen2.5-14B,94,East Asia Economic Caucus,2,11,0,0,0,0,0,12,2,10,0,0.0,0.0,0.0,0.8968253968253969,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,95,Tiana (Disney),16,7,0,0,0,0,0,8,3,5,0,0.0,0.0,0.0,0.7437229437229437,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,96,Vesper sparrow,6,19,0,0,0,0,0,3,0,3,0,0.0,0.0,0.0,0.9731615673644659,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,97,Silvan Elves,22,20,4,4,0,2,2,23,9,14,8,0.08695652173913043,0.2,0.1,0.9314241486068111,10,4,3.0,3,3,2,7,3,0.5,0.3,2
Qwen2.5-14B,98,ABBA Live,23,16,2,2,0,1,1,14,0,14,2,0.07142857142857142,0.125,0.0625,0.8772893772893773,4,2,3.0,3,2,1,4,2,1.0,0.75,1
Qwen2.5-14B,99,Young Wild Things Tour,2,13,1,1,0,1,1,10,0,10,1,0.1,0.07692307692307693,0.07692307692307693,0.8630952380952381,3,1,3.0,3,1,1,3,1,0.0,1.0,1
Qwen2.5-14B,100,Samuel C. Brightman,10,10,1,1,0,1,1,13,5,8,1,0.07692307692307693,0.1,0.1,0.8333333333333334,3,1,3.0,3,1,1,3,1,0.0,1.0,1
Qwen2.5-14B,101,Alberto Valenzuela Llanos,16,18,1,1,0,1,1,15,0,15,1,0.06666666666666667,0.05555555555555555,0.05555555555555555,0.8777839244370685,3,1,3.0,3,1,1,3,1,0.0,1.0,1
Qwen2.5-14B,102,Amandeep Khare,18,9,2,2,0,1,1,9,3,6,2,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.8210901585514588,5,2,3.0,3,2,1,5,2,1.0,0.6,1
Qwen2.5-14B,103,Blank Page,14,8,4,4,0,2,2,7,0,7,4,0.2857142857142857,0.5,0.25,0.9048772827208688,9,4,3.0,3,3,1,9,4,0.6666666666666666,0.3333333333333333,2
Qwen2.5-14B,104,Jared Allen,10,9,3,3,0,1,1,8,1,7,4,0.125,0.3333333333333333,0.1111111111111111,0.767056530214425,7,3,3.0,3,3,1,7,3,1.0,0.42857142857142855,1
Qwen2.5-14B,105,The Hurting,14,13,1,1,0,1,1,6,0,6,1,0.16666666666666666,0.07692307692307693,0.07692307692307693,0.5279365079365079,3,1,3.0,3,1,1,3,1,0.0,1.0,1
Qwen2.5-14B,106,Link River,12,9,0,0,0,0,0,7,0,7,0,0.0,0.0,0.0,0.8368464052287582,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,107,Ali Kuli Khan Khattak,3,2,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0.8440476190476192,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,108,Paul Morphy,17,12,4,4,0,1,1,9,1,8,4,0.1111111111111111,0.3333333333333333,0.08333333333333333,0.8250793650793651,9,4,3.0,3,4,1,9,4,1.0,0.3333333333333333,1
Qwen2.5-14B,109,Gloria Estefan albums discography,25,13,1,1,0,1,1,3,0,3,1,0.3333333333333333,0.07692307692307693,0.07692307692307693,0.9777777777777779,3,1,3.0,3,1,1,3,1,0.0,1.0,1
Qwen2.5-14B,110,Tōkai region,18,18,0,0,0,0,0,17,1,16,0,0.0,0.0,0.0,0.8043740573152339,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,111,Parks in Greater St. Louis,16,10,0,0,0,0,0,6,3,3,0,0.0,0.0,0.0,0.6446428571428572,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,112,Loopline Bridge,13,9,1,1,0,1,1,9,2,7,3,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.8913189207306855,3,1,3.0,3,1,1,3,1,0.0,1.0,1
Qwen2.5-14B,113,Catholic Church in the Maldives,10,9,2,2,0,2,2,8,2,6,3,0.25,0.2222222222222222,0.2222222222222222,0.9424603174603176,6,2,3.0,3,1,2,3,1,0.0,0.5,2
Qwen2.5-14B,114,Across the Black Waters,3,3,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0.953968253968254,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,115,Cove Lake State Park,14,13,0,0,0,0,0,11,0,11,0,0.0,0.0,0.0,0.7535505430242274,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,116,German torpedo boat Kondor,15,14,13,13,0,2,2,18,7,11,18,0.1111111111111111,0.9285714285714286,0.14285714285714285,0.7083333333333334,27,13,3.0,3,11,1,27,13,0.7435897435897436,0.1111111111111111,2
Qwen2.5-14B,117,Foulsyke,19,14,1,1,0,1,1,14,1,13,1,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.905993265993266,3,1,3.0,3,1,1,3,1,0.0,1.0,1
Qwen2.5-14B,118,Le Ventre de Paris,13,11,1,1,0,1,1,9,1,8,1,0.1111111111111111,0.09090909090909091,0.09090909090909091,0.8363636363636364,3,1,3.0,3,1,1,3,1,0.0,1.0,1
Qwen2.5-14B,119,Energy and Environmental Security Initiative,15,14,0,0,0,0,0,5,2,3,0,0.0,0.0,0.0,0.9916666666666667,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,120,Ne crois pas,12,3,1,1,0,1,1,2,0,2,1,0.5,0.3333333333333333,0.3333333333333333,0.934360410830999,3,1,3.0,3,1,1,3,1,0.0,1.0,1
Qwen2.5-14B,121,Downy,27,39,2,2,0,1,1,39,0,39,2,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.9134388070558283,5,2,3.0,3,2,1,5,2,1.0,0.6,1
Qwen2.5-14B,122,Boltenhagen,13,9,0,0,0,0,0,8,0,8,0,0.0,0.0,0.0,0.8922511312217195,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,123,Upper Ammonoosuc River,24,24,0,0,0,0,0,20,0,20,0,0.0,0.0,0.0,0.8358578025916735,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,124,Michael Giacchino,28,27,0,0,0,0,0,4,0,4,0,0.0,0.0,0.0,0.15873015873015872,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,125,Oberliga Rheinland-Pfalz/Saar,2,10,0,0,0,0,0,5,0,5,0,0.0,0.0,0.0,0.8785403050108932,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,126,Siberia Governorate,14,9,0,0,0,0,0,10,5,5,0,0.0,0.0,0.0,0.7417043740573153,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,127,Raymond Hermantier,18,12,2,1,1,1,1,12,5,7,2,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.7170099160945843,5,2,3.0,3,2,1,5,2,1.0,0.6,1
Qwen2.5-14B,128,Kurt Tucholsky,14,8,3,3,0,1,1,8,2,6,5,0.125,0.375,0.125,0.8541666666666666,7,3,3.0,3,3,1,7,3,1.0,0.42857142857142855,1
Qwen2.5-14B,129,Urgut,9,5,0,0,0,0,0,4,3,1,0,0.0,0.0,0.0,0.8981684981684982,0,0,0.0,0,0,0,0,0,0.0,0.0,0
Qwen2.5-14B,130,N. C. Wyeth,15,16,4,4,0,1,1,12,2,10,5,0.08333333333333333,0.25,0.0625,0.8658730158730159,9,4,3.0,3,4,1,9,4,1.0,0.3333333333333333,1
