model,pid,relation,documents,violations,bound,involved_errors,document_errors,bound_to_involved_error_ratio,bound_to_document_error_ratio
Qwen2.5-32B,P264,record label,1,2,1,2,9,0.5,0.1111111111111111
Qwen2.5-32B,P27,country of citizenship,4,4,4,5,42,0.8,0.09523809523809523
Qwen2.5-32B,P361,part of,1,1,1,2,2,0.5,0.5
Qwen2.5-32B,P463,member of,12,23,13,26,114,0.5,0.11403508771929824
Qwen2.5-32B,P495,country of origin,36,47,36,64,332,0.5625,0.10843373493975904
Qwen2.5-32B,P527,has part,11,18,11,23,109,0.4782608695652174,0.10091743119266056
Qwen2.5-32B,P569,date of birth,1,1,1,1,3,1.0,0.3333333333333333
Qwen2.5-32B,P571,inception (date founded/created),9,15,9,15,113,0.6,0.07964601769911504
Qwen2.5-32B,P577,publication date,5,7,5,8,66,0.625,0.07575757575757576
Qwen2.5-32B,P710,participant,33,97,36,113,361,0.3185840707964602,0.0997229916897507
Qwen2.5-32B,P800,notable work,16,22,16,23,147,0.6956521739130435,0.10884353741496598
Qwen2.5-72B,P1001,applies to jurisdiction,10,27,12,37,130,0.32432432432432434,0.09230769230769231
Qwen2.5-72B,P131,located in the administrative territorial entity,4,5,5,10,59,0.5,0.0847457627118644
Qwen2.5-72B,P1344,participant in,93,191,109,242,1208,0.45041322314049587,0.0902317880794702
Qwen2.5-72B,P150,contains administrative territorial entity,4,10,4,11,71,0.36363636363636365,0.056338028169014086
Qwen2.5-72B,P161,cast member,9,22,9,23,167,0.391304347826087,0.05389221556886228
Qwen2.5-72B,P17,country,3,3,3,4,43,0.75,0.06976744186046512
Qwen2.5-72B,P175,performer,10,14,10,16,98,0.625,0.10204081632653061
Qwen2.5-72B,P264,record label,4,5,4,5,68,0.8,0.058823529411764705
Qwen2.5-72B,P361,part of,9,13,9,19,114,0.47368421052631576,0.07894736842105263
Qwen2.5-72B,P463,member of,9,18,10,20,98,0.5,0.10204081632653061
Qwen2.5-72B,P495,country of origin,43,48,45,66,623,0.6818181818181818,0.07223113964686999
Qwen2.5-72B,P527,has part,49,97,58,124,685,0.46774193548387094,0.08467153284671533
Qwen2.5-72B,P569,date of birth,12,13,13,16,192,0.8125,0.06770833333333333
Qwen2.5-72B,P577,publication date,11,18,13,20,178,0.65,0.07303370786516854
Qwen2.5-72B,P710,participant,51,102,53,116,730,0.45689655172413796,0.07260273972602739
Qwen2.5-72B,P800,notable work,54,98,60,109,664,0.5504587155963303,0.09036144578313253
DeepSeek-V3,P1001,applies to jurisdiction,12,15,12,21,151,0.5714285714285714,0.07947019867549669
DeepSeek-V3,P131,located in the administrative territorial entity,1,4,1,2,16,0.5,0.0625
DeepSeek-V3,P1344,participant in,83,154,92,201,1089,0.4577114427860697,0.0844811753902663
DeepSeek-V3,P150,contains administrative territorial entity,12,21,13,32,149,0.40625,0.087248322147651
DeepSeek-V3,P161,cast member,4,9,4,11,69,0.36363636363636365,0.057971014492753624
DeepSeek-V3,P175,performer,61,144,64,167,783,0.38323353293413176,0.08173690932311622
DeepSeek-V3,P264,record label,2,6,2,6,28,0.3333333333333333,0.07142857142857142
DeepSeek-V3,P27,country of citizenship,2,2,2,5,35,0.4,0.05714285714285714
DeepSeek-V3,P361,part of,2,3,2,3,25,0.6666666666666666,0.08
DeepSeek-V3,P463,member of,8,10,8,12,94,0.6666666666666666,0.0851063829787234
DeepSeek-V3,P495,country of origin,53,65,56,90,748,0.6222222222222222,0.0748663101604278
DeepSeek-V3,P527,has part,25,50,29,53,340,0.5471698113207547,0.08529411764705883
DeepSeek-V3,P569,date of birth,1,1,1,1,11,1.0,0.09090909090909091
DeepSeek-V3,P577,publication date,4,6,6,8,35,0.75,0.17142857142857143
DeepSeek-V3,P710,participant,65,139,71,164,859,0.4329268292682927,0.08265424912689173
DeepSeek-V3,P800,notable work,49,62,52,68,544,0.7647058823529411,0.09558823529411764
