model,error_category,pid,relation,certificate_visible_errors,stable_errors,stable_fraction,recurrence_0,recurrence_1,recurrence_2,recurrence_3,recurrence_4,recurrence_5
Qwen/Qwen2.5-72B-Instruct,relation_spurious,P463,member of,1,0,0.0,0,0,1,0,0,0
Qwen/Qwen2.5-72B-Instruct,relation_spurious,P495,country of origin,9,0,0.0,4,1,4,0,0,0
Qwen/Qwen2.5-72B-Instruct,relation_spurious,P527,has part,26,11,0.4230769230769231,5,7,3,10,1,0
Qwen/Qwen2.5-72B-Instruct,relation_spurious,P569,date of birth,2,0,0.0,2,0,0,0,0,0
Qwen/Qwen2.5-72B-Instruct,relation_spurious,P577,publication date,1,0,0.0,1,0,0,0,0,0
Qwen/Qwen2.5-72B-Instruct,relation_spurious,P710,participant,18,1,0.05555555555555555,8,9,0,1,0,0
Qwen/Qwen2.5-72B-Instruct,relation_spurious,P800,notable work,18,15,0.8333333333333334,1,0,2,0,6,9
deepseek-ai/DeepSeek-V3,entity_type,ALL_ENTITY_TYPES,entity type assignment,32,28,0.875,0,3,1,5,8,15
deepseek-ai/DeepSeek-V3,relation_spurious,P131,located in the administrative territorial entity,1,1,1.0,0,0,0,1,0,0
deepseek-ai/DeepSeek-V3,relation_spurious,P1344,participant in,37,15,0.40540540540540543,17,3,2,4,9,2
deepseek-ai/DeepSeek-V3,relation_spurious,P150,contains administrative territorial entity,4,3,0.75,0,1,0,0,3,0
deepseek-ai/DeepSeek-V3,relation_spurious,P175,performer,19,10,0.5263157894736842,2,6,1,2,6,2
deepseek-ai/DeepSeek-V3,relation_spurious,P361,part of,2,0,0.0,1,1,0,0,0,0
deepseek-ai/DeepSeek-V3,relation_spurious,P463,member of,2,2,1.0,0,0,0,0,2,0
deepseek-ai/DeepSeek-V3,relation_spurious,P495,country of origin,12,3,0.25,3,1,5,1,0,2
deepseek-ai/DeepSeek-V3,relation_spurious,P527,has part,11,5,0.45454545454545453,3,1,2,2,0,3
deepseek-ai/DeepSeek-V3,relation_spurious,P577,publication date,1,0,0.0,1,0,0,0,0,0
deepseek-ai/DeepSeek-V3,relation_spurious,P710,participant,27,7,0.25925925925925924,11,4,5,1,6,0
deepseek-ai/DeepSeek-V3,relation_spurious,P800,notable work,10,6,0.6,1,2,1,0,2,4
THUDM/GLM-4-32B-0414,entity_type,ALL_ENTITY_TYPES,entity type assignment,28,18,0.6428571428571429,1,5,4,8,3,7
THUDM/GLM-4-32B-0414,relation_spurious,P1001,applies to jurisdiction,4,1,0.25,0,3,0,1,0,0
THUDM/GLM-4-32B-0414,relation_spurious,P1344,participant in,80,15,0.1875,28,15,22,11,1,3
THUDM/GLM-4-32B-0414,relation_spurious,P150,contains administrative territorial entity,2,0,0.0,1,1,0,0,0,0
THUDM/GLM-4-32B-0414,relation_spurious,P161,cast member,8,0,0.0,7,0,1,0,0,0
THUDM/GLM-4-32B-0414,relation_spurious,P175,performer,4,3,0.75,0,1,0,0,3,0
THUDM/GLM-4-32B-0414,relation_spurious,P361,part of,2,0,0.0,2,0,0,0,0,0
THUDM/GLM-4-32B-0414,relation_spurious,P463,member of,4,0,0.0,4,0,0,0,0,0
THUDM/GLM-4-32B-0414,relation_spurious,P495,country of origin,16,5,0.3125,5,3,3,0,3,2
THUDM/GLM-4-32B-0414,relation_spurious,P569,date of birth,3,0,0.0,2,1,0,0,0,0
THUDM/GLM-4-32B-0414,relation_spurious,P577,publication date,6,1,0.16666666666666666,3,2,0,0,1,0
THUDM/GLM-4-32B-0414,relation_spurious,P710,participant,45,2,0.044444444444444446,21,16,6,1,0,1
THUDM/GLM-4-32B-0414,relation_spurious,P800,notable work,21,9,0.42857142857142855,4,2,6,2,1,6
