split,document_index,doc_key,violations,checkable,validated,uncheckable,bound,checkable_bound,gold_errors,theorem_checkable
test,14,CVPR_2009_10_abs,3,1,1,2,2,1,12,True
test,15,N03-1026,1,1,1,0,1,1,9,True
test,16,ICML_2016_11_abs,6,5,5,1,3,3,13,True
test,17,C88-1044,0,0,0,0,0,0,4,True
test,18,INTERSPEECH_2008_20_abs,2,0,0,2,1,0,8,True
test,19,ICASSP_2016_11_abs,2,1,1,1,2,1,11,True
test,20,N06-1037,1,0,0,1,1,0,4,True
test,21,P05-2013,0,0,0,0,0,0,6,True
test,22,C04-1128,3,2,2,1,3,2,7,True
test,23,CVPR_2006_10_abs,0,0,0,0,0,0,3,True
test,24,NIPS_2002_11_abs,0,0,0,0,0,0,10,True
test,25,P06-3007,0,0,0,0,0,0,6,True
test,26,ICCV_2013_25_abs,3,0,0,3,1,0,16,True
test,27,P05-1076,1,1,1,0,1,1,13,True
test,28,C04-1103,0,0,0,0,0,0,6,True
test,29,NIPS_2002_18_abs,4,0,0,4,2,0,16,True
test,30,C86-1081,0,0,0,0,0,0,1,True
test,31,P03-1070,1,1,1,0,1,1,16,True
test,32,P05-1056,0,0,0,0,0,0,10,True
test,33,CVPR_2011_11_abs,1,1,1,0,1,1,12,True
test,34,ICML_2016_10_abs,1,1,1,0,1,1,10,True
test,35,C04-1011,2,1,1,1,1,1,10,True
test,36,ECCV_2006_13_abs,1,1,1,0,1,1,10,True
test,37,N04-1022,1,1,1,0,1,1,15,True
test,38,E89-1016,2,1,1,1,1,1,5,True
test,39,E06-1022,2,2,2,0,1,1,10,True
test,40,I05-5004,1,1,1,0,1,1,7,True
test,41,H01-1042,3,0,0,3,2,0,13,True
test,42,C04-1035,1,1,1,0,1,1,9,True
test,43,C04-1036,0,0,0,0,0,0,8,True
test,44,CVPR_2011_10_abs,2,2,2,0,1,1,18,True
test,45,ECCV_2012_30_abs,1,1,1,0,1,1,12,True
test,46,P08-1105,0,0,0,0,0,0,5,True
test,47,ICML_2006_119_abs,0,0,0,0,0,0,12,True
test,48,P04-2005,1,1,1,0,1,1,13,True
test,49,NIPS_2016_560_abs,1,0,0,1,1,0,7,True
test,50,P06-1053,0,0,0,0,0,0,1,True
test,51,CVPR_2016_413_abs,3,0,0,3,1,0,10,True
test,52,ICML_1995_38_abs,3,0,0,3,2,0,12,True
test,53,P06-4007,2,1,1,1,2,1,7,True
test,54,E99-1015,0,0,0,0,0,0,2,True
test,55,CVPR_2004_18_abs,5,4,4,1,3,2,14,True
test,56,J86-4002,11,1,1,10,3,1,8,True
test,57,P06-1013,3,2,2,1,1,1,5,True
test,58,P05-1046,0,0,0,0,0,0,10,True
test,59,J82-3002,2,1,1,1,2,1,8,True
test,60,ECCV_2016_99_abs,0,0,0,0,0,0,6,True
test,61,I05-5003,0,0,0,0,0,0,7,True
test,62,CVPR_2008_256_abs,0,0,0,0,0,0,5,True
test,63,P01-1056,1,1,1,0,1,1,11,True
test,64,ICCV_2003_151_abs,3,3,3,0,3,3,22,True
test,65,C90-3063,1,1,1,0,1,1,6,True
test,66,J05-4003,1,0,0,1,1,0,8,True
test,67,C00-2123,4,2,2,2,2,1,7,True
test,68,E91-1012,3,2,2,1,3,2,13,True
test,69,J86-3001,0,0,0,0,0,0,10,True
test,70,P86-1011,2,2,2,0,1,1,2,True
test,71,E95-1033,2,2,2,0,1,1,6,True
test,72,W02-1602,3,2,2,1,1,1,19,True
test,73,C04-1106,0,0,0,0,0,0,4,True
test,74,ECCV_2016_204_abs,2,2,2,0,1,1,13,True
test,75,INTERSPEECH_2006_21_abs,3,1,1,2,3,1,10,True
test,76,NIPS_2015_18_abs,0,0,0,0,0,0,8,True
test,77,CVPR_1994_10_abs,1,0,0,1,1,0,7,True
test,78,P83-1004,3,1,1,2,1,1,5,True
test,79,C90-3045,2,2,2,0,1,1,7,True
test,80,CVPR_1993_10_abs,2,1,1,1,2,1,8,True
test,81,ICML_2016_18_abs,1,0,0,1,1,0,8,True
test,82,I05-4010,2,0,0,2,1,0,3,True
test,83,ICCV_2013_47_abs,1,0,0,1,1,0,12,True
test,84,H05-1095,1,0,0,1,1,0,5,True
test,85,A97-1020,4,0,0,4,1,0,20,True
test,86,N03-1033,2,2,2,0,1,1,14,True
test,87,ECCV_2016_212_abs,5,4,4,1,2,1,16,True
test,88,ICASSP_1997_706_abs,4,3,3,1,1,1,14,True
test,89,INTERSPEECH_2008_28_abs,2,2,2,0,2,2,15,True
test,90,ECCV_2016_110_abs,0,0,0,0,0,0,5,True
test,91,CVPR_2008_258_abs,5,0,0,5,1,0,3,True
test,92,C08-2010,2,2,2,0,1,1,9,True
test,93,E93-1066,3,2,2,1,3,2,16,True
test,94,INTERSPEECH_2014_40_abs,1,1,1,0,1,1,6,True
test,95,CVPR_2010_30_abs,7,5,5,2,4,3,12,True
test,96,CVPR_2004_30_abs,2,2,2,0,1,1,14,True
test,97,INTERSPEECH_2007_40_abs,1,0,0,1,1,0,7,True
test,98,CVPR_2003_30_abs,2,2,2,0,1,1,15,True
test,99,NIPS_2016_80_abs,0,0,0,0,0,0,6,True
